date,raw_title_sentiment,raw_description_sentiment
2020-03-13,neutral,neutral
2020-03-13,positive,positive
2020-03-16,neutral,positive
2020-03-17,negative,positive
2020-03-17,positive,positive
2020-03-17,negative,negative
2020-03-17,positive,negative
2020-03-18,negative,negative
2020-03-19,negative,negative
2020-03-25,negative,positive
2020-03-26,neutral,negative
2020-03-27,positive,positive
2020-04-01,neutral,positive
2020-04-01,neutral,positive
2020-04-01,positive,negative
2020-04-03,neutral,neutral
2020-04-03,negative,negative
2020-04-06,positive,positive
2020-04-07,negative,negative
2020-04-10,negative,negative
2020-04-14,positive,positive
2020-04-15,negative,negative
2020-04-16,negative,negative
2020-04-17,negative,negative
2020-04-18,negative,positive
2020-04-18,negative,negative
2020-04-19,negative,negative
2020-04-19,positive,negative
2020-04-21,positive,negative
2020-04-21,neutral,positive
2020-04-22,negative,negative
2020-04-22,positive,positive
2020-04-23,neutral,neutral
2020-04-23,negative,negative
2020-04-23,negative,negative
2020-04-28,positive,positive
2020-04-29,neutral,positive
2020-04-30,negative,neutral
2020-05-01,negative,negative
2020-05-02,positive,positive
2020-05-04,negative,negative
2020-05-04,neutral,negative
2020-05-05,positive,positive
2020-05-05,positive,positive
2020-05-06,negative,negative
2020-05-07,negative,negative
2020-05-07,neutral,positive
2020-05-08,negative,neutral
2020-05-08,neutral,negative
2020-05-08,negative,neutral
2020-05-09,neutral,negative
2020-05-12,positive,neutral
2020-05-13,neutral,negative
2020-05-14,negative,negative
2020-05-14,positive,positive
2020-05-19,neutral,negative
2020-05-22,neutral,positive
2020-05-24,neutral,negative
2020-05-25,neutral,negative
2020-05-27,positive,neutral
2020-05-28,neutral,positive
2020-05-28,neutral,negative
2020-05-29,neutral,neutral
2020-06-04,positive,neutral
2020-06-04,negative,neutral
2020-06-08,negative,negative
2020-06-09,negative,positive
2020-06-11,neutral,neutral
2020-06-12,negative,neutral
2020-06-13,positive,positive
2020-06-17,positive,negative
2020-06-18,positive,negative
2020-06-18,neutral,neutral
2020-06-18,neutral,neutral
2020-06-18,positive,positive
2020-06-20,neutral,neutral
2020-06-26,neutral,positive
2020-06-26,positive,positive
2020-06-27,negative,negative
2020-06-29,negative,negative
2020-06-29,positive,positive
2020-06-30,neutral,positive
2020-07-03,neutral,neutral
2020-07-09,neutral,positive
2020-07-09,neutral,neutral
2020-07-11,positive,neutral
2020-07-13,neutral,neutral
2020-07-16,negative,neutral
2020-07-18,negative,negative
2020-07-25,negative,negative
2020-07-27,neutral,neutral
2020-07-31,neutral,neutral
2020-07-31,negative,negative
2020-08-03,positive,positive
2020-08-06,neutral,neutral
2020-08-13,negative,negative
2020-08-19,neutral,negative
2020-08-19,negative,negative
2020-08-21,negative,neutral
2020-08-24,neutral,positive
2020-08-25,neutral,negative
2020-08-25,positive,neutral
2020-08-25,positive,neutral
2020-08-26,neutral,neutral
2020-08-27,negative,negative
2020-08-28,neutral,negative
2020-08-28,negative,positive
2020-08-28,neutral,neutral
2020-09-03,positive,negative
2020-09-07,neutral,neutral
2020-09-08,negative,negative
2020-09-08,negative,neutral
2020-09-12,neutral,positive
2020-09-16,negative,positive
2020-09-18,neutral,neutral
2020-09-22,negative,negative
2020-09-22,negative,neutral
2020-09-22,neutral,neutral
2020-09-24,positive,positive
2020-09-24,negative,negative
2020-10-04,positive,negative
2020-10-05,neutral,negative
2020-10-06,positive,positive
2020-10-06,neutral,negative
2020-10-08,positive,positive
2020-10-10,positive,neutral
2020-10-10,positive,neutral
2020-10-15,neutral,negative
2020-10-16,negative,negative
2020-10-20,neutral,negative
2020-10-20,negative,negative
2020-10-24,positive,negative
2020-10-27,negative,negative
2020-10-27,negative,negative
2020-10-27,negative,neutral
2020-10-27,positive,positive
2020-10-28,neutral,positive
2020-10-29,negative,negative
2020-10-29,neutral,negative
2020-10-30,neutral,negative
2020-10-30,negative,positive
2020-11-03,negative,positive
2020-11-10,neutral,negative
2020-11-10,positive,neutral
2020-11-11,negative,positive
2020-11-13,positive,positive
2020-11-13,negative,negative
2020-11-13,negative,negative
2020-11-16,neutral,neutral
2020-11-17,neutral,negative
2020-11-18,neutral,positive
2020-11-18,negative,positive
2020-11-19,neutral,negative
2020-11-24,neutral,neutral
2020-11-24,neutral,positive
2020-11-25,neutral,positive
2020-11-25,neutral,neutral
2020-11-30,neutral,positive
2020-12-03,neutral,positive
2020-12-04,negative,negative
2020-12-05,negative,neutral
2020-12-07,neutral,neutral
2020-12-07,neutral,neutral
2020-12-08,neutral,neutral
2020-12-08,negative,positive
2020-12-10,positive,negative
2020-12-15,positive,negative
2020-12-16,positive,negative
2020-12-20,neutral,positive
2020-12-21,neutral,positive
2020-12-22,negative,positive
2020-12-24,neutral,neutral
2020-12-26,positive,positive
2020-12-30,positive,positive
2021-01-02,negative,positive
2021-01-03,neutral,negative
2021-01-10,neutral,negative
2021-01-12,negative,negative
2021-01-16,negative,positive
2021-01-21,neutral,negative
2021-01-25,negative,neutral
2021-01-28,neutral,neutral
2021-01-29,positive,positive
2021-01-30,neutral,positive
2021-02-01,neutral,positive
2021-02-03,neutral,neutral
2021-02-08,positive,positive
2021-02-10,neutral,neutral
2021-02-11,negative,negative
2021-02-11,negative,negative
2021-02-12,positive,negative
2021-02-15,positive,neutral
2021-02-16,negative,negative
2021-02-17,negative,negative
2021-02-18,negative,negative
2021-02-19,positive,neutral
2021-02-22,neutral,positive
2021-02-24,neutral,neutral
2021-02-27,neutral,negative
2021-03-01,negative,negative
2021-03-07,neutral,positive
2021-03-13,negative,negative
2021-03-13,negative,negative
2021-03-15,neutral,positive
2021-03-22,negative,negative
2021-03-22,neutral,positive
2021-03-22,negative,positive
2021-03-25,neutral,positive
2021-03-26,negative,negative
2021-03-26,negative,negative
2021-03-30,positive,positive
2021-03-30,negative,negative
2021-03-31,neutral,positive
2021-04-04,neutral,positive
2021-04-05,positive,positive
2021-04-08,negative,negative
2021-04-09,neutral,neutral
2021-04-09,negative,neutral
2021-04-13,negative,negative
2021-04-13,negative,negative
2021-04-15,neutral,positive
2021-04-15,negative,negative
2021-04-16,negative,negative
2021-04-16,negative,negative
2021-04-19,negative,negative
2021-04-19,negative,negative
2021-04-20,positive,negative
2021-04-20,neutral,positive
2021-04-21,negative,negative
2021-04-21,positive,negative
2021-04-21,neutral,positive
2021-04-25,negative,negative
2021-04-26,neutral,positive
2021-04-29,neutral,positive
2021-04-29,neutral,neutral
2021-04-29,positive,positive
2021-04-30,neutral,positive
2021-05-01,neutral,negative
2021-05-10,negative,negative
2021-05-10,neutral,negative
2021-05-11,negative,positive
2021-05-11,negative,negative
2021-05-12,negative,negative
2021-05-12,neutral,positive
2021-05-13,negative,negative
2021-05-13,neutral,negative
2021-05-14,positive,positive
2021-05-18,negative,negative
2021-05-20,negative,negative
2021-05-20,negative,positive
2021-05-22,negative,neutral
2021-05-24,positive,positive
2021-05-25,neutral,positive
2021-05-27,negative,positive
2021-05-29,negative,negative
2021-06-01,negative,negative
2021-06-02,neutral,positive
2021-06-03,negative,negative
2021-06-05,positive,neutral
2021-06-07,positive,positive
2021-06-08,neutral,neutral
2021-06-08,negative,negative
2021-06-08,neutral,negative
2021-06-09,neutral,positive
2021-06-09,negative,negative
2021-06-09,negative,negative
2021-06-10,neutral,neutral
2021-06-10,neutral,neutral
2021-06-10,neutral,neutral
2021-06-10,negative,positive
2021-06-10,positive,neutral
2021-06-15,neutral,positive
2021-06-16,negative,positive
2021-06-17,negative,negative
2021-06-18,positive,neutral
2021-06-18,neutral,negative
2021-06-23,positive,positive
2021-06-23,positive,positive
2021-06-24,neutral,neutral
2021-06-26,neutral,positive
2021-06-27,negative,negative
2021-06-29,positive,positive
2021-07-02,neutral,positive
2021-07-02,positive,positive
2021-07-06,negative,neutral
2021-07-10,neutral,negative
2021-07-11,neutral,positive
2021-07-12,positive,positive
2021-07-13,neutral,positive
2021-07-20,positive,positive
2021-07-23,neutral,neutral
2021-07-26,neutral,positive
2021-07-30,negative,negative
2021-07-31,neutral,positive
2021-07-31,neutral,positive
2021-08-12,neutral,neutral
2021-08-12,positive,neutral
2021-08-15,neutral,negative
2021-08-16,positive,positive
2021-08-16,positive,positive
2021-08-17,positive,neutral
2021-08-20,neutral,positive
2021-08-25,neutral,negative
2021-08-25,negative,negative
2021-08-26,positive,neutral
2021-08-31,positive,positive
2021-09-01,positive,positive
2021-09-02,neutral,neutral
2021-09-03,positive,positive
2021-09-10,neutral,negative
2021-09-10,neutral,positive
2021-09-13,positive,positive
2021-09-13,neutral,positive
2021-09-14,positive,positive
2021-09-20,neutral,positive
2021-09-22,negative,negative
2021-09-23,neutral,negative
2021-09-25,neutral,neutral
2021-09-26,positive,negative
2021-09-26,positive,negative
2021-09-27,neutral,negative
2021-09-29,positive,positive
2021-09-29,negative,negative
2021-09-30,positive,positive
2021-09-30,positive,positive
2021-09-30,neutral,negative
2021-10-01,positive,positive
2021-10-02,neutral,positive
2021-10-02,neutral,negative
2021-10-11,negative,negative
2021-10-12,neutral,neutral
2021-10-12,neutral,positive
2021-10-13,neutral,negative
2021-10-13,negative,neutral
2021-10-14,negative,negative
2021-10-14,negative,negative
2021-10-16,positive,positive
2021-10-16,positive,positive
2021-10-18,negative,neutral
2021-10-18,negative,negative
2021-10-21,neutral,negative
2021-10-21,positive,negative
2021-10-22,negative,negative
2021-10-22,positive,positive
2021-10-24,positive,negative
2021-10-26,negative,negative
2021-10-27,neutral,positive
2021-10-28,negative,negative
2021-10-28,positive,negative
2021-10-29,neutral,neutral
2021-11-02,positive,positive
2021-11-02,positive,positive
2021-11-04,negative,negative
2021-11-04,negative,negative
2021-11-05,positive,negative
2021-11-07,neutral,neutral
2021-11-08,negative,negative
2021-11-09,neutral,neutral
2021-11-10,positive,positive
2021-11-10,neutral,neutral
2021-11-10,neutral,positive
2021-11-11,negative,negative
2021-11-14,positive,positive
2021-11-17,positive,negative
2021-11-18,neutral,negative
2021-11-19,positive,positive
2021-11-19,positive,positive
2021-11-20,negative,negative
2021-11-22,positive,positive
2021-11-22,positive,positive
2021-11-22,neutral,positive
2021-11-23,positive,positive
2021-11-24,neutral,positive
2021-11-25,neutral,positive
2021-11-25,positive,neutral
2021-11-26,neutral,negative
2021-11-26,positive,positive
2021-11-29,negative,positive
2021-11-30,positive,neutral
2021-11-30,positive,positive
2021-11-30,neutral,neutral
2021-12-01,positive,neutral
2021-12-01,negative,positive
2021-12-02,positive,neutral
2021-12-02,negative,positive
2021-12-02,negative,positive
2021-12-02,positive,negative
2021-12-02,negative,negative
2021-12-05,negative,negative
2021-12-08,neutral,neutral
2021-12-10,positive,neutral
2021-12-11,neutral,negative
2021-12-13,positive,positive
2021-12-16,neutral,positive
2021-12-22,negative,negative
2021-12-22,negative,negative
2022-01-01,negative,negative
2022-01-10,neutral,positive
2022-01-11,positive,negative
2022-01-12,positive,positive
2022-01-14,negative,negative
2022-01-15,positive,positive
2022-01-15,neutral,positive
2022-01-17,neutral,negative
2022-01-20,positive,negative
2022-01-20,positive,positive
2022-01-22,negative,neutral
2022-01-23,positive,negative
2022-01-23,neutral,neutral
2022-01-26,positive,positive
2022-01-26,negative,negative
2022-01-27,neutral,negative
2022-01-29,positive,positive
2022-01-29,negative,positive
2022-01-30,neutral,positive
2022-02-04,positive,neutral
2022-02-06,positive,positive
2022-02-07,positive,positive
2022-02-08,negative,negative
2022-02-08,negative,negative
2022-02-09,negative,negative
2022-02-09,neutral,negative
2022-02-09,negative,negative
2022-02-09,negative,negative
2022-02-10,negative,negative
2022-02-10,positive,negative
2022-02-11,positive,positive
2022-02-12,neutral,neutral
2022-02-12,neutral,positive
2022-02-12,neutral,neutral
2022-02-15,neutral,positive
2022-02-17,neutral,negative
2022-02-17,positive,positive
2022-02-19,negative,positive
2022-02-21,negative,negative
2022-02-22,positive,positive
2022-02-24,negative,negative
2022-02-25,positive,positive
2022-02-25,positive,neutral
2022-03-07,positive,positive
2022-03-08,positive,neutral
2022-03-09,neutral,negative
2022-03-13,neutral,negative
2022-03-14,neutral,neutral
2022-03-16,negative,negative
2022-03-17,negative,neutral
2022-03-18,positive,positive
2022-03-18,positive,neutral
2022-03-19,negative,neutral
2022-03-21,neutral,positive
2022-03-21,negative,neutral
2022-03-22,negative,positive
2022-03-24,neutral,positive
2022-03-25,positive,neutral
2022-03-27,neutral,positive
2022-03-31,positive,positive
2022-03-31,positive,positive
2022-04-01,positive,positive
2022-04-01,positive,neutral
2022-04-01,neutral,negative
2022-04-02,negative,negative
2022-04-04,positive,negative
2022-04-05,neutral,positive
2022-04-06,negative,negative
2022-04-06,negative,neutral
2022-04-07,neutral,neutral
2022-04-07,neutral,neutral
2022-04-08,negative,positive
2022-04-08,neutral,neutral
2022-04-10,positive,positive
2022-04-11,positive,negative
2022-04-11,negative,negative
2022-04-12,positive,positive
2022-04-13,neutral,neutral
2022-04-13,negative,positive
2022-04-16,neutral,positive
2022-04-18,negative,negative
2022-04-19,neutral,neutral
2022-04-19,positive,positive
2022-04-20,neutral,neutral
2022-04-21,negative,negative
2022-04-21,positive,positive
2022-04-25,neutral,negative
2022-04-26,neutral,negative
2022-04-27,neutral,negative
2022-04-27,neutral,negative
2022-04-27,positive,positive
2022-04-28,negative,positive
2022-04-28,negative,positive
2022-04-28,neutral,neutral
2022-04-30,neutral,negative
2022-05-02,negative,positive
2022-05-02,neutral,negative
2022-05-02,neutral,negative
2022-05-02,neutral,neutral
2022-05-02,negative,positive
2022-05-03,negative,negative
2022-05-03,neutral,negative
2022-05-03,negative,negative
2022-05-04,negative,negative
2022-05-04,positive,positive
2022-05-05,negative,positive
2022-05-05,positive,positive
2022-05-06,neutral,negative
2022-05-08,positive,negative
2022-05-13,positive,negative
2022-05-15,negative,neutral
2022-05-15,positive,positive
2022-05-16,negative,negative
2022-05-16,neutral,positive
2022-05-16,neutral,positive
2022-05-16,neutral,negative
2022-05-24,negative,positive
2022-05-25,negative,negative
2022-05-25,negative,negative
2022-05-27,neutral,neutral
2022-05-30,neutral,neutral
2022-05-31,positive,positive
2022-06-06,negative,negative
2022-06-07,negative,neutral
2022-06-10,negative,positive
2022-06-15,negative,negative
2022-06-16,negative,negative
2022-06-16,neutral,positive
2022-06-16,neutral,neutral
2022-06-17,negative,negative
2022-06-17,neutral,positive
2022-06-19,neutral,positive
2022-06-19,negative,negative
2022-06-21,negative,neutral
2022-06-24,positive,positive
2022-06-27,positive,positive
2022-06-29,positive,positive
2022-06-29,negative,positive
2022-06-30,neutral,positive
2022-07-02,neutral,positive
2022-07-03,positive,neutral
2022-07-06,neutral,negative
2022-07-08,positive,positive
2022-07-11,negative,negative
2022-07-17,neutral,positive
2022-07-19,positive,neutral
2022-07-21,positive,positive
2022-07-22,positive,positive
2022-07-26,positive,positive
2022-07-26,negative,negative
2022-07-29,neutral,neutral
2022-08-04,neutral,neutral
2022-08-04,positive,negative
2022-08-12,neutral,negative
2022-08-14,neutral,neutral
2022-08-17,negative,negative
2022-08-19,neutral,neutral
2022-08-19,negative,negative
2022-08-20,positive,positive
2022-08-23,negative,neutral
2022-08-25,neutral,negative
2022-08-25,positive,neutral
2022-08-26,neutral,negative
2022-08-27,positive,positive
2022-08-29,neutral,neutral
2022-08-29,negative,negative
2022-08-30,positive,neutral
2022-08-30,negative,negative
2022-08-31,positive,neutral
2022-09-01,neutral,neutral
2022-09-07,neutral,neutral
2022-09-07,positive,positive
2022-09-07,neutral,negative
2022-09-12,neutral,negative
2022-09-13,neutral,positive
2022-09-14,neutral,negative
2022-09-15,negative,neutral
2022-09-15,neutral,neutral
2022-09-19,neutral,neutral
2022-09-19,positive,positive
2022-09-21,positive,positive
2022-09-21,neutral,positive
2022-09-21,positive,positive
2022-09-22,negative,negative
2022-09-26,neutral,positive
2022-09-26,negative,neutral
2022-09-27,neutral,neutral
2022-09-27,positive,positive
2022-09-27,positive,positive
2022-09-28,negative,neutral
2022-09-28,positive,positive
2022-09-30,negative,neutral
2022-10-02,negative,positive
2022-10-05,negative,negative
2022-10-08,neutral,neutral
2022-10-11,neutral,neutral
2022-10-12,neutral,positive
2022-10-12,negative,negative
2022-10-12,neutral,neutral
2022-10-13,neutral,negative
2022-10-13,negative,negative
2022-10-15,neutral,positive
2022-10-15,neutral,positive
2022-10-15,positive,positive
2022-10-16,neutral,negative
2022-10-17,negative,negative
2022-10-18,neutral,positive
2022-10-20,negative,positive
2022-10-20,neutral,negative
2022-10-20,neutral,negative
2022-10-20,negative,positive
2022-10-21,negative,positive
2022-10-21,negative,positive
2022-10-21,neutral,negative
2022-10-24,neutral,negative
2022-10-24,negative,negative
2022-10-25,neutral,negative
2022-10-26,negative,negative
2022-10-26,neutral,neutral
2022-10-26,negative,negative
2022-10-27,negative,negative
2022-10-28,positive,negative
2022-10-28,neutral,neutral
2022-10-30,negative,neutral
2022-11-01,neutral,neutral
2022-11-01,neutral,positive
2022-11-02,neutral,positive
2022-11-02,negative,negative
2022-11-03,neutral,neutral
2022-11-03,negative,neutral
2022-11-03,positive,positive
2022-11-03,neutral,negative
2022-11-04,neutral,neutral
2022-11-05,positive,positive
2022-11-06,neutral,neutral
2022-11-08,neutral,neutral
2022-11-08,negative,negative
2022-11-08,negative,neutral
2022-11-10,neutral,positive
2022-11-10,positive,negative
2022-11-11,neutral,negative
2022-11-14,positive,neutral
2022-11-14,neutral,positive
2022-11-16,negative,negative
2022-11-16,positive,positive
2022-11-17,neutral,neutral
2022-11-18,neutral,positive
2022-11-18,neutral,positive
2022-11-19,positive,negative
2022-11-20,neutral,negative
2022-11-21,negative,negative
2022-11-21,negative,neutral
2022-11-21,negative,negative
2022-11-22,negative,negative
2022-11-22,positive,positive
2022-11-23,positive,positive
2022-11-24,positive,negative
2022-11-24,negative,negative
2022-11-26,negative,negative
2022-11-27,negative,negative
2022-11-28,positive,positive
2022-11-28,negative,neutral
2022-11-28,negative,negative
2022-11-29,positive,positive
2022-11-30,neutral,neutral
2022-11-30,neutral,negative
2022-11-30,negative,negative
2022-12-01,neutral,negative
2022-12-01,positive,positive
2022-12-01,positive,positive
2022-12-02,positive,negative
2022-12-04,neutral,neutral
2022-12-04,neutral,positive
2022-12-05,negative,negative
2022-12-06,negative,negative
2022-12-07,positive,negative
2022-12-07,negative,positive
2022-12-07,neutral,negative
2022-12-08,neutral,positive
2022-12-11,neutral,positive
2022-12-12,positive,positive
2022-12-12,positive,neutral
2022-12-12,neutral,neutral
2022-12-12,negative,positive
2022-12-13,neutral,negative
2022-12-18,negative,neutral
2022-12-19,neutral,negative
2022-12-20,neutral,neutral
2022-12-20,negative,negative
2022-12-21,positive,neutral
2022-12-24,neutral,positive
2022-12-26,neutral,positive
2022-12-29,neutral,positive
2022-12-30,neutral,neutral
2022-12-31,negative,negative
2023-01-02,neutral,positive
2023-01-04,negative,neutral
2023-01-04,neutral,positive
2023-01-04,neutral,neutral
2023-01-05,negative,negative
2023-01-06,negative,negative
2023-01-06,negative,negative
2023-01-10,neutral,negative
2023-01-11,negative,negative
2023-01-12,positive,positive
2023-01-13,negative,negative
2023-01-14,negative,negative
2023-01-15,positive,negative
2023-01-16,positive,negative
2023-01-17,negative,negative
2023-01-17,negative,negative
2023-01-17,negative,neutral
2023-01-17,negative,neutral
2023-01-18,negative,negative
2023-01-19,negative,positive
2023-01-19,neutral,negative
2023-01-20,negative,negative
2023-01-22,positive,neutral
2023-01-22,negative,negative
2023-01-23,positive,positive
2023-01-23,positive,positive
2023-01-24,neutral,positive
2023-01-24,neutral,positive
2023-01-26,neutral,neutral
2023-01-26,negative,negative
2023-01-26,negative,neutral
2023-01-27,positive,positive
2023-01-30,positive,positive
2023-01-30,negative,negative
2023-01-30,positive,positive
2023-01-31,negative,negative
2023-01-31,negative,negative
2023-02-01,positive,negative
2023-02-01,neutral,negative
2023-02-01,neutral,positive
2023-02-01,negative,positive
2023-02-02,neutral,positive
2023-02-02,negative,negative
2023-02-03,positive,negative
2023-02-03,positive,negative
2023-02-04,negative,positive
2023-02-06,positive,positive
2023-02-08,negative,negative
2023-02-09,negative,negative
2023-02-10,negative,positive
2023-02-10,positive,positive
2023-02-10,neutral,negative
2023-02-12,neutral,neutral
2023-02-13,neutral,positive
2023-02-14,neutral,negative
2023-02-14,negative,positive
2023-02-15,negative,negative
2023-02-15,negative,negative
2023-02-15,negative,negative
2023-02-15,negative,neutral
2023-02-16,negative,negative
2023-02-17,positive,positive
2023-02-17,positive,positive
2023-02-18,negative,negative
2023-02-20,neutral,negative
2023-02-20,positive,neutral
2023-02-21,positive,positive
2023-02-22,positive,negative
2023-02-23,positive,negative
2023-02-24,negative,positive
2023-02-24,negative,positive
2023-02-25,neutral,neutral
2023-02-26,negative,negative
2023-02-27,positive,positive
2023-02-28,negative,negative
2023-02-28,negative,positive
2023-02-28,negative,negative
2023-03-01,negative,negative
2023-03-01,negative,negative
2023-03-01,positive,negative
2023-03-02,positive,positive
2023-03-02,negative,positive
2023-03-02,neutral,positive
2023-03-02,neutral,positive
2023-03-03,negative,positive
2023-03-03,negative,negative
2023-03-06,negative,negative
2023-03-07,neutral,positive
2023-03-07,negative,negative
2023-03-08,neutral,neutral
2023-03-09,positive,neutral
2023-03-11,neutral,negative
2023-03-12,neutral,positive
2023-03-15,negative,negative
2023-03-16,negative,neutral
2023-03-20,negative,positive
2023-03-20,negative,negative
2023-03-21,negative,negative
2023-03-21,negative,negative
2023-03-21,negative,positive
2023-03-22,neutral,neutral
2023-03-23,negative,negative
2023-03-23,neutral,negative
2023-03-24,neutral,positive
2023-03-27,neutral,positive
2023-03-28,negative,negative
2023-03-28,negative,negative
2023-03-29,positive,neutral
2023-04-03,positive,positive
2023-04-05,neutral,negative
2023-04-08,positive,positive
2023-04-11,negative,neutral
2023-04-12,neutral,positive
2023-04-14,neutral,positive
2023-04-16,positive,positive
2023-04-21,negative,negative
2023-04-21,neutral,positive
2023-04-21,neutral,negative
2023-04-23,negative,negative
2023-04-24,negative,negative
2023-04-24,negative,negative
2023-04-24,negative,neutral
